,15939,577,3220,14795,5307,18043,16233,15063,2620,3481,4988,9617,2173,9731,8202,12001,5844,16498,6720,9717,10514,10302,12362,11755,9373,6084,13244,3426,12340,3145,9059,10755,4933,12781,7441,18089,5349,6270,13944,16603,8282,10,12640,12639,12664,12665,12753,12666,12667,12761,12668,12669,12670,12671,12672,12752,12673,12751,12638,12674,12675,12637,12750,12676,12636,12677,12749,12748,12747,12678,12679,12663,12754,12641,12662,12642,12643,12644,12645,12646,12759,12647,12648,12649,12650,12651,12652,12653,12654,12655,12758,12656,12760,12657,12658,12757,12756,12755,12659,12681
Patogeno,3,3,0,1,1,0,1,2,1,1,0,0,3,1,1,1,2,0,0,1,2,0,1,2,1,3,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,3,0,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0
Ambiente,2,5,1,0,1,1,1,0,1,0,1,1,2,1,0,2,1,1,1,1,3,1,0,0,2,2,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,2,1,2,0,0,0,0,0,1,0,2,1,1,0,2,2,0,1,1,0,2,2,1,1,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
