,50634,220763,193891,106790,65822,28849,48528,165322,18506,16848,37368,21795,159375,44108,68365,114622,139822,169568,59304,133305,28207,199505,99093,104022,19057,239319,42035,91852,119520,326634,362420,50362,242353,99107,234230,59197,18646,221486,46649,20872,157251,248050,48635,194083,167562,18978,22005,32350,155079,303523,87269,45827,237358,316311,149404,64471,158975,81688,20909,267926,65603,136681,161430,95086,114325,38269,316157,41099,184660,34051,76520,36750,265839,17956,166260,15741,189862,68217,64609,13282,17083,120949,129128,59483,52957,72500,302695,298590,43162,181533,50199,127760,173585,276232,97110,26786,278765,4032,57364,9159
1,1877,666,2,66,1085,886,2146,5,1085,1090,385,23,0,1232,106,569,321,573,317,1,31,2,834,401,868,366,112,3,392,61,3,192,64,1073,4,60,250,575,6,455,4,635,1599,83,3,235,163,243,11,186,182,464,120,48,5,105,113,296,99,16,1703,3009,92,147,277,148,372,2,3,844,5,942,3,187,116,630,0,4,78,1074,5,25,22,802,258,8,93,8,543,0,192,294,528,132,10,628,160,77,371,1415
0,289,157,19,204,261,125,1319,26,629,267,242,102,3,347,30,477,62,147,194,3,117,5,200,463,380,89,246,16,459,188,6,266,18,658,8,105,182,147,7,441,6,170,479,197,15,76,268,215,10,96,68,66,144,87,20,152,61,352,41,17,538,1714,73,53,46,228,478,3,6,364,7,502,12,75,117,135,4,3,118,241,18,21,6,227,364,9,91,7,95,6,266,322,357,39,16,187,287,9,216,627
