,1723,7836,7308,12050,3716,15304,18593,17265,18276,2818,8078,6284,4988,1955,7919,11450,18362,11344,5175,2835,13848,372,16299,1235,3707,4758,11118,13313,11663,1901,14141,13255,4493,17708,2338,6023,12102,5383,17400,12171,17063,1271,12486,15052,13514,5719,5741,12781,15134,16691,14368,808,10777,11765,13284,7050,14403,9163,3019,16075,14016,15207,9262,533,3873,7217,3058,7912,4933,10772,9147,708,8006,12848,5490,3071,9772,7339,7136,8782,11642,15804,16817,5134,2211,10907,17298,1985,11361,1330,17331,2946,17159,8188,3145,8393,13487,12669,12737,12663
Patogeno,0,0,2,2,0,0,0,0,1,0,1,0,0,1,0,2,0,1,0,0,2,2,0,1,1,4,1,0,2,2,2,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,3,1,1,0,0,0,2,0,1,0,0,2,1,2,0,1,0,1,1,2,0,0,1,2,0,0,0,0,0,1,0,0,1,0,1,1
HostHuman,1,1,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,2,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HostFungi,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
Ambiente,2,0,2,0,1,0,1,0,2,2,0,3,1,2,2,3,1,0,2,1,0,1,1,0,0,2,4,1,0,3,0,2,0,0,2,0,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,0,0,5,0,2,0,1,0,2,0,0,0,0,2,2,2,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0
Hostalga,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hostanimal,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,3,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0
