,203765,97108,52428,151711,149401,110718,67881,130070,213635,4898,76914,118214,142687,220891,28322,159943,230785,165846,14789,52734,157687,16882,12808,120522,13426,67223,285028,57698,46912,172481,12033,232620,132660,182790,101,244040,106419,126085,45174,288782,49456,68384,12402,97365,169528,200767,98608,48734,27800,91580,231392,12758,335417,270050,382914,184270,121515,227574,222296,87236,110291,38142,103668,270697,77939,279483,241016,135310,21366,44364,97576,10318,260416,286266,34033,187224,237565,36833,123452,141384,33707,169568,15533,286698,345206,28381,34134,314861,51586,93782,215837,101514,306613,130376,3591,32337,259403,42559,31525,294801
Humano,457,456,465,453,456,454,469,482,471,926,455,457,452,460,460,450,449,454,486,461,53,902,466,903,461,342,16,236,69,29,2,8,32,186,12,10,15,194,217,2,18,466,12,18,23,25,85,37,22,12,8,3,69,25,19,5,28,15,1,8,15,492,2,7,6,10,245,5,2,31,2,1,173,184,1,2,5,14,499,164,3,441,43,3,7,910,2,5,0,7,5,6,8,250,10,17,8,30,13,2
Planta,13,15,18,11,14,14,32,41,28,24,19,11,13,19,13,10,10,14,56,21,908,24,19,24,13,2,3,2,15,12,0,0,18,5,40,0,3,3,43,1,493,864,4,3,6,11,4,31,8,1,4,3,10,15,0,36,12,8,2,2,796,108,2,3,541,7,28,2,20,27,1,4,5,4,5,2,1,0,928,2,1,95,244,3,4,40,0,13,32,0,21,0,1,21,4,563,2,297,2,10
